wcvflx,lon,lat
43118.984,-120.4549,38.57567
26318.984,-120.094,38.62627
47466.484,-120.5208,38.8577
28086.484,-120.1582,38.90858
16163.984,-119.795,38.9581
31123.984,-120.223,39.19109
17236.484,-119.8581,39.24089
31791.484,-120.2885,39.4738
19213.984,-119.9218,39.5239
89352.06,-120.4549,38.57567
80419.56,-120.094,38.62627
89447.06,-120.5208,38.8577
74992.06,-120.1582,38.90858
62994.56,-119.795,38.9581
74434.56,-120.223,39.19109
56889.555,-119.8581,39.24089
72264.56,-120.2885,39.4738
57062.055,-119.9218,39.5239
16554.31,-120.4549,38.57567
12976.811,-120.094,38.62627
28633.06,-120.5208,38.8577
14576.811,-120.1582,38.90858
-1528.1895,-119.795,38.9581
23256.81,-120.223,39.19109
1734.3105,-119.8581,39.24089
29979.31,-120.2885,39.4738
5198.0605,-119.9218,39.5239
-12489.496,-120.4549,38.57567
-17046.996,-120.094,38.62627
-5921.996,-120.5208,38.8577
-17286.996,-120.1582,38.90858
-24566.996,-119.795,38.9581
-11721.996,-120.223,39.19109
-22334.496,-119.8581,39.24089
-10964.496,-120.2885,39.4738
-17379.496,-119.9218,39.5239
-7299.4414,-120.4549,38.57567
-4466.9414,-120.094,38.62627
-5739.4414,-120.5208,38.8577
-4901.9414,-120.1582,38.90858
-4611.9414,-119.795,38.9581
-5894.4414,-120.223,39.19109
-5161.9414,-119.8581,39.24089
-6861.9414,-120.2885,39.4738
-6499.4414,-119.9218,39.5239
-8941.596,-120.4549,38.57567
-7889.0957,-120.094,38.62627
-9174.096,-120.5208,38.8577
-8286.596,-120.1582,38.90858
-7809.0957,-119.795,38.9581
-8549.096,-120.223,39.19109
-8186.5957,-119.8581,39.24089
-8976.596,-120.2885,39.4738
-8819.096,-119.9218,39.5239
6813.2188,-120.4549,38.57567
3333.2188,-120.094,38.62627
12290.719,-120.5208,38.8577
7823.2188,-120.1582,38.90858
2663.2188,-119.795,38.9581
11933.219,-120.223,39.19109
6278.2188,-119.8581,39.24089
14113.219,-120.2885,39.4738
7833.2188,-119.9218,39.5239
51654.785,-120.4549,38.57567
46952.285,-120.094,38.62627
50797.285,-120.5208,38.8577
44509.785,-120.1582,38.90858
35009.78,-119.795,38.9581
49194.785,-120.223,39.19109
38247.28,-119.8581,39.24089
51839.785,-120.2885,39.4738
37614.78,-119.9218,39.5239
113976.41,-120.4549,38.57567
101116.41,-120.094,38.62627
101163.91,-120.5208,38.8577
87981.41,-120.1582,38.90858
66858.914,-119.795,38.9581
76271.41,-120.223,39.19109
58728.914,-119.8581,39.24089
74478.91,-120.2885,39.4738
60481.414,-119.9218,39.5239
-21107.682,-120.4549,38.57567
-24445.182,-120.094,38.62627
-19302.682,-120.5208,38.8577
-21492.682,-120.1582,38.90858
-19625.182,-119.795,38.9581
-16585.182,-120.223,39.19109
-13810.182,-119.8581,39.24089
-12482.682,-120.2885,39.4738
-10285.182,-119.9218,39.5239
1039.7051,-120.4549,38.57567
3353.455,-120.094,38.62627
4162.205,-120.5208,38.8577
2402.205,-120.1582,38.90858
-470.29492,-119.795,38.9581
2955.955,-120.223,39.19109
-1256.5449,-119.8581,39.24089
2315.955,-120.2885,39.4738
-1244.0449,-119.9218,39.5239
-20222.062,-120.4549,38.57567
-24417.062,-120.094,38.62627
-21912.062,-120.5208,38.8577
-23999.562,-120.1582,38.90858
-21517.062,-119.795,38.9581
-21302.062,-120.223,39.19109
-19874.562,-119.8581,39.24089
-19539.562,-120.2885,39.4738
-18739.562,-119.9218,39.5239
-13380.748,-120.4549,38.57567
-15018.248,-120.094,38.62627
-15008.248,-120.5208,38.8577
-15113.248,-120.1582,38.90858
-13438.248,-119.795,38.9581
-13573.248,-120.223,39.19109
-9963.248,-119.8581,39.24089
-11930.748,-120.2885,39.4738
-9785.748,-119.9218,39.5239
29936.053,-120.4549,38.57567
25228.553,-120.094,38.62627
27518.553,-120.5208,38.8577
23951.053,-120.1582,38.90858
21061.053,-119.795,38.9581
22493.553,-120.223,39.19109
20206.053,-119.8581,39.24089
21023.553,-120.2885,39.4738
18988.553,-119.9218,39.5239
53119.58,-120.4549,38.57567
46842.08,-120.094,38.62627
48177.08,-120.5208,38.8577
45087.08,-120.1582,38.90858
41729.58,-119.795,38.9581
41667.08,-120.223,39.19109
40809.58,-119.8581,39.24089
36769.58,-120.2885,39.4738
36689.58,-119.9218,39.5239
8320.75,-120.4549,38.57567
5893.25,-120.094,38.62627
5390.75,-120.5208,38.8577
4660.75,-120.1582,38.90858
4643.25,-119.795,38.9581
1995.75,-120.223,39.19109
1858.25,-119.8581,39.24089
-1.75,-120.2885,39.4738
433.25,-119.9218,39.5239
-3399.3848,-120.4549,38.57567
-3611.8848,-120.094,38.62627
-3724.3848,-120.5208,38.8577
-3699.3848,-120.1582,38.90858
-3099.3848,-119.795,38.9581
-3286.8848,-120.223,39.19109
-2774.3848,-119.8581,39.24089
-3099.3848,-120.2885,39.4738
-3536.8848,-119.9218,39.5239
-1472.1328,-120.4549,38.57567
-1722.1328,-120.094,38.62627
-1184.6328,-120.5208,38.8577
-1722.1328,-120.1582,38.90858
-2497.1328,-119.795,38.9581
-1997.1328,-120.223,39.19109
-2684.6328,-119.8581,39.24089
-2259.6328,-120.2885,39.4738
-2822.1328,-119.9218,39.5239
9510.969,-120.4549,38.57567
7563.4688,-120.094,38.62627
9770.969,-120.5208,38.8577
8310.969,-120.1582,38.90858
6418.4688,-119.795,38.9581
8325.969,-120.223,39.19109
6960.9688,-119.8581,39.24089
8748.469,-120.2885,39.4738
7080.9688,-119.9218,39.5239
11549.703,-120.4549,38.57567
10827.203,-120.094,38.62627
11374.703,-120.5208,38.8577
10319.703,-120.1582,38.90858
9827.203,-119.795,38.9581
9824.703,-120.223,39.19109
8632.203,-119.8581,39.24089
10172.203,-120.2885,39.4738
8807.203,-119.9218,39.5239
-4304.4277,-120.4549,38.57567
-3616.9277,-120.094,38.62627
-5364.4277,-120.5208,38.8577
-4504.4277,-120.1582,38.90858
-4074.4277,-119.795,38.9581
-5574.4277,-120.223,39.19109
-4976.9277,-119.8581,39.24089
-6844.4277,-120.2885,39.4738
-6171.9277,-119.9218,39.5239
-14793.521,-120.4549,38.57567
-13352.271,-120.094,38.62627
-14703.521,-120.5208,38.8577
-12894.771,-120.1582,38.90858
-11499.771,-119.795,38.9581
-13386.021,-120.223,39.19109
-12214.771,-119.8581,39.24089
-14462.271,-120.2885,39.4738
-12848.521,-119.9218,39.5239
-19668.13,-120.4549,38.57567
-18733.133,-120.094,38.62627
-21335.63,-120.5208,38.8577
-20068.13,-120.1582,38.90858
-19128.133,-119.795,38.9581
-20873.13,-120.223,39.19109
-20398.13,-119.8581,39.24089
-21470.63,-120.2885,39.4738
-22278.13,-119.9218,39.5239
37293.008,-120.4549,38.57567
24990.508,-120.094,38.62627
38353.008,-120.5208,38.8577
25633.008,-120.1582,38.90858
13943.008,-119.795,38.9581
26768.008,-120.223,39.19109
14618.008,-119.8581,39.24089
25300.508,-120.2885,39.4738
16623.008,-119.9218,39.5239
10466.975,-120.4549,38.57567
2999.4746,-120.094,38.62627
21506.975,-120.5208,38.8577
6241.9746,-120.1582,38.90858
-1520.5254,-119.795,38.9581
9541.975,-120.223,39.19109
-2788.0254,-119.8581,39.24089
9721.975,-120.2885,39.4738
531.9746,-119.9218,39.5239
24080.2,-120.4549,38.57567
13840.199,-120.094,38.62627
28400.2,-120.5208,38.8577
15487.699,-120.1582,38.90858
5947.699,-119.795,38.9581
19430.2,-120.223,39.19109
7950.199,-119.8581,39.24089
20770.2,-120.2885,39.4738
11565.199,-119.9218,39.5239
83094.3,-120.4549,38.57567
52376.793,-120.094,38.62627
86814.3,-120.5208,38.8577
54139.293,-120.1582,38.90858
29729.293,-119.795,38.9581
56069.293,-120.223,39.19109
34056.793,-119.8581,39.24089
56904.297,-120.2885,39.4738
36336.793,-119.9218,39.5239
-32590.12,-120.4549,38.57567
-30225.12,-120.094,38.62627
-27747.62,-120.5208,38.8577
-29015.12,-120.1582,38.90858
-28422.62,-119.795,38.9581
-27222.62,-120.223,39.19109
-26975.12,-119.8581,39.24089
-23795.12,-120.2885,39.4738
-26640.12,-119.9218,39.5239
-10945.127,-120.4549,38.57567
-11541.377,-120.094,38.62627
-11232.627,-120.5208,38.8577
-12547.627,-120.1582,38.90858
-14235.127,-119.795,38.9581
-13585.127,-120.223,39.19109
-15058.877,-119.8581,39.24089
-15898.877,-120.2885,39.4738
-17001.377,-119.9218,39.5239
10280.734,-120.4549,38.57567
8053.2344,-120.094,38.62627
10990.734,-120.5208,38.8577
8645.734,-120.1582,38.90858
6715.7344,-119.795,38.9581
8763.234,-120.223,39.19109
7168.2344,-119.8581,39.24089
8238.234,-120.2885,39.4738
7080.7344,-119.9218,39.5239
42872.742,-120.4549,38.57567
34227.742,-120.094,38.62627
44897.742,-120.5208,38.8577
37725.242,-120.1582,38.90858
26207.74,-119.795,38.9581
36227.742,-120.223,39.19109
24962.74,-119.8581,39.24089
36965.242,-120.2885,39.4738
26382.74,-119.9218,39.5239
-7303.9297,-120.4549,38.57567
-7748.9297,-120.094,38.62627
-8376.43,-120.5208,38.8577
-8133.9297,-120.1582,38.90858
-6616.4297,-119.795,38.9581
-10513.93,-120.223,39.19109
-7876.4297,-119.8581,39.24089
-10753.93,-120.2885,39.4738
-8028.9297,-119.9218,39.5239
-11094.83,-120.4549,38.57567
-11152.33,-120.094,38.62627
-11074.83,-120.5208,38.8577
-10899.83,-120.1582,38.90858
-11214.83,-119.795,38.9581
-11047.33,-120.223,39.19109
-10504.83,-119.8581,39.24089
-11354.83,-120.2885,39.4738
-10512.33,-119.9218,39.5239
2159.1543,-120.4549,38.57567
-2663.3457,-120.094,38.62627
12694.154,-120.5208,38.8577
2811.6543,-120.1582,38.90858
-6388.3457,-119.795,38.9581
11119.154,-120.223,39.19109
-735.8457,-119.8581,39.24089
13559.154,-120.2885,39.4738
3236.6543,-119.9218,39.5239
-8058.4453,-120.4549,38.57567
-11200.945,-120.094,38.62627
-2370.9453,-120.5208,38.8577
-13550.945,-120.1582,38.90858
-17378.445,-119.795,38.9581
-15930.945,-120.223,39.19109
-23068.445,-119.8581,39.24089
-24600.945,-120.2885,39.4738
-28888.445,-119.9218,39.5239
-11416.229,-120.4549,38.57567
-10818.729,-120.094,38.62627
-11899.979,-120.5208,38.8577
-12324.979,-120.1582,38.90858
-11773.729,-119.795,38.9581
-13119.979,-120.223,39.19109
-12506.229,-119.8581,39.24089
-14339.979,-120.2885,39.4738
-12378.729,-119.9218,39.5239
-10965.619,-120.4549,38.57567
-10405.619,-120.094,38.62627
-10138.119,-120.5208,38.8577
-10518.119,-120.1582,38.90858
-9670.619,-119.795,38.9581
-10158.119,-120.223,39.19109
-11290.619,-119.8581,39.24089
-8788.119,-120.2885,39.4738
-8523.119,-119.9218,39.5239
-7995.711,-120.4549,38.57567
-8015.711,-120.094,38.62627
-7020.711,-120.5208,38.8577
-7963.211,-120.1582,38.90858
-7988.211,-119.795,38.9581
-6550.711,-120.223,39.19109
-6280.711,-119.8581,39.24089
-6753.211,-120.2885,39.4738
-6203.211,-119.9218,39.5239
-6301.8184,-120.4549,38.57567
-6424.3184,-120.094,38.62627
-6386.8184,-120.5208,38.8577
-6799.3184,-120.1582,38.90858
-7116.8184,-119.795,38.9581
-7099.3184,-120.223,39.19109
-7966.8184,-119.8581,39.24089
-7769.3184,-120.2885,39.4738
-8806.818,-119.9218,39.5239
-5195.045,-120.4549,38.57567
-5692.545,-120.094,38.62627
-5862.545,-120.5208,38.8577
-6555.045,-120.1582,38.90858
-7367.545,-119.795,38.9581
-7327.545,-120.223,39.19109
-8285.045,-119.8581,39.24089
-8642.545,-120.2885,39.4738
-9467.545,-119.9218,39.5239
-8484.628,-120.4549,38.57567
-12500.878,-120.094,38.62627
-6620.878,-120.5208,38.8577
-8672.128,-120.1582,38.90858
-10082.128,-119.795,38.9581
-5570.878,-120.223,39.19109
-5945.878,-119.8581,39.24089
-5730.878,-120.2885,39.4738
-5899.628,-119.9218,39.5239
-3482.7305,-120.4549,38.57567
-3411.4805,-120.094,38.62627
-3261.4805,-120.5208,38.8577
-3141.4805,-120.1582,38.90858
-3017.7305,-119.795,38.9581
-2988.9805,-120.223,39.19109
-2885.2305,-119.8581,39.24089
-3130.2305,-120.2885,39.4738
-3087.7305,-119.9218,39.5239
-3869.3809,-120.4549,38.57567
-4059.3809,-120.094,38.62627
-3879.3809,-120.5208,38.8577
-4094.3809,-120.1582,38.90858
-4329.381,-119.795,38.9581
-4124.381,-120.223,39.19109
-4301.881,-119.8581,39.24089
-4221.881,-120.2885,39.4738
-4326.881,-119.9218,39.5239
-1742.4912,-120.4549,38.57567
-1753.7412,-120.094,38.62627
-1713.7412,-120.5208,38.8577
-1793.7412,-120.1582,38.90858
-1943.7412,-119.795,38.9581
-1882.4912,-120.223,39.19109
-2176.2412,-119.8581,39.24089
-1724.9912,-120.2885,39.4738
-1699.9912,-119.9218,39.5239
10918.37,-120.4549,38.57567
9828.37,-120.094,38.62627
12613.37,-120.5208,38.8577
11113.37,-120.1582,38.90858
9998.37,-119.795,38.9581
13190.87,-120.223,39.19109
11643.37,-119.8581,39.24089
15628.37,-120.2885,39.4738
14068.37,-119.9218,39.5239
92464.01,-120.4549,38.57567
71982.76,-120.094,38.62627
87439.01,-120.5208,38.8577
67049.01,-120.1582,38.90858
45540.258,-119.795,38.9581
63542.758,-120.223,39.19109
42809.008,-119.8581,39.24089
59381.508,-120.2885,39.4738
42887.758,-119.9218,39.5239
83801.555,-120.4549,38.57567
80354.055,-120.094,38.62627
84699.055,-120.5208,38.8577
75201.555,-120.1582,38.90858
56494.055,-119.795,38.9581
76214.055,-120.223,39.19109
55424.055,-119.8581,39.24089
78321.555,-120.2885,39.4738
56324.055,-119.9218,39.5239
72100.22,-120.4549,38.57567
53655.22,-120.094,38.62627
71197.72,-120.5208,38.8577
49872.72,-120.1582,38.90858
23467.719,-119.795,38.9581
45400.22,-120.223,39.19109
17447.719,-119.8581,39.24089
44097.72,-120.2885,39.4738
20762.719,-119.9218,39.5239
61616.367,-120.4549,38.57567
47636.367,-120.094,38.62627
60836.367,-120.5208,38.8577
48641.367,-120.1582,38.90858
41766.367,-119.795,38.9581
50393.867,-120.223,39.19109
43838.867,-119.8581,39.24089
53581.367,-120.2885,39.4738
45386.367,-119.9218,39.5239
151856.16,-120.4549,38.57567
119968.66,-120.094,38.62627
151853.66,-120.5208,38.8577
116603.66,-120.1582,38.90858
74981.16,-119.795,38.9581
116306.16,-120.223,39.19109
77221.16,-119.8581,39.24089
114461.16,-120.2885,39.4738
84171.16,-119.9218,39.5239
14844.736,-120.4549,38.57567
10434.736,-120.094,38.62627
13682.236,-120.5208,38.8577
10472.236,-120.1582,38.90858
7797.2363,-119.795,38.9581
11682.236,-120.223,39.19109
8414.736,-119.8581,39.24089
12619.736,-120.2885,39.4738
8302.236,-119.9218,39.5239
12290.787,-120.4549,38.57567
9873.287,-120.094,38.62627
13648.287,-120.5208,38.8577
10185.787,-120.1582,38.90858
7958.287,-119.795,38.9581
10493.287,-120.223,39.19109
8033.287,-119.8581,39.24089
10048.287,-120.2885,39.4738
8138.287,-119.9218,39.5239
16735.006,-120.4549,38.57567
13052.506,-120.094,38.62627
19975.006,-120.5208,38.8577
14055.006,-120.1582,38.90858
11557.506,-119.795,38.9581
13255.006,-120.223,39.19109
11965.006,-119.8581,39.24089
12680.006,-120.2885,39.4738
12217.506,-119.9218,39.5239
-142.53906,-120.4549,38.57567
-210.03906,-120.094,38.62627
-0.0390625,-120.5208,38.8577
-120.03906,-120.1582,38.90858
-227.53906,-119.795,38.9581
-137.53906,-120.223,39.19109
-42.539062,-119.8581,39.24089
-87.53906,-120.2885,39.4738
-185.03906,-119.9218,39.5239
25393.605,-120.4549,38.57567
15221.105,-120.094,38.62627
23811.105,-120.5208,38.8577
14553.605,-120.1582,38.90858
8852.355,-119.795,38.9581
10607.355,-120.223,39.19109
6817.3555,-119.8581,39.24089
7057.3555,-120.2885,39.4738
5902.3555,-119.9218,39.5239
74218.09,-120.4549,38.57567
57094.344,-120.094,38.62627
71534.34,-120.5208,38.8577
53184.34,-120.1582,38.90858
43226.844,-119.795,38.9581
52928.09,-120.223,39.19109
40400.594,-119.8581,39.24089
52014.34,-120.2885,39.4738
39911.844,-119.9218,39.5239
110773.484,-120.4549,38.57567
91273.47,-120.094,38.62627
120385.984,-120.5208,38.8577
92103.484,-120.1582,38.90858
66248.47,-119.795,38.9581
103570.984,-120.223,39.19109
69575.97,-119.8581,39.24089
110925.984,-120.2885,39.4738
80985.97,-119.9218,39.5239
182270.5,-120.4549,38.57567
175959.25,-120.094,38.62627
187744.25,-120.5208,38.8577
177670.5,-120.1582,38.90858
129393.02,-119.795,38.9581
171015.53,-120.223,39.19109
134235.53,-119.8581,39.24089
165053.0,-120.2885,39.4738
130150.52,-119.9218,39.5239
-37900.95,-120.4549,38.57567
-34903.453,-120.094,38.62627
-33748.453,-120.5208,38.8577
-35093.453,-120.1582,38.90858
-38280.95,-119.795,38.9581
-33877.203,-120.223,39.19109
-36947.2,-119.8581,39.24089
-32598.451,-120.2885,39.4738
-36193.45,-119.9218,39.5239
-8335.896,-120.4549,38.57567
-14860.896,-120.094,38.62627
-1300.8965,-120.5208,38.8577
-10470.896,-120.1582,38.90858
-14343.396,-119.795,38.9581
-2235.8965,-120.223,39.19109
-11167.146,-119.8581,39.24089
6184.1035,-120.2885,39.4738
-6014.6465,-119.9218,39.5239
68950.44,-120.4549,38.57567
60542.938,-120.094,38.62627
77712.94,-120.5208,38.8577
67730.44,-120.1582,38.90858
52635.438,-119.795,38.9581
78530.44,-120.223,39.19109
60572.938,-119.8581,39.24089
83167.94,-120.2885,39.4738
67670.44,-119.9218,39.5239
14559.842,-120.4549,38.57567
26509.844,-120.094,38.62627
7259.842,-120.5208,38.8577
11309.842,-120.1582,38.90858
11784.842,-119.795,38.9581
3959.8418,-120.223,39.19109
-2015.1582,-119.8581,39.24089
1434.8418,-120.2885,39.4738
-4790.158,-119.9218,39.5239
-34460.562,-120.4549,38.57567
-38115.562,-120.094,38.62627
-31335.564,-120.5208,38.8577
-32923.062,-120.1582,38.90858
-31870.564,-119.795,38.9581
-30883.064,-120.223,39.19109
-27620.564,-119.8581,39.24089
-31585.564,-120.2885,39.4738
-25225.564,-119.9218,39.5239
-26383.732,-120.4549,38.57567
-29538.732,-120.094,38.62627
-30948.732,-120.5208,38.8577
-29218.732,-120.1582,38.90858
-30253.732,-119.795,38.9581
-25316.232,-120.223,39.19109
-28131.232,-119.8581,39.24089
-27433.732,-120.2885,39.4738
-28291.232,-119.9218,39.5239
-4662.6777,-120.4549,38.57567
-3212.6777,-120.094,38.62627
-7325.1777,-120.5208,38.8577
-6425.1777,-120.1582,38.90858
-5100.1777,-119.795,38.9581
-7062.6777,-120.223,39.19109
-5925.1777,-119.8581,39.24089
-6537.6777,-120.2885,39.4738
-4100.1777,-119.9218,39.5239
-3866.0898,-120.4549,38.57567
-2961.0898,-120.094,38.62627
-5053.59,-120.5208,38.8577
-3468.5898,-120.1582,38.90858
-3138.5898,-119.795,38.9581
-3006.0898,-120.223,39.19109
-3068.5898,-119.8581,39.24089
-3263.5898,-120.2885,39.4738
-3461.0898,-119.9218,39.5239
-3329.8965,-120.4549,38.57567
-2929.8965,-120.094,38.62627
-4034.8965,-120.5208,38.8577
-2769.8965,-120.1582,38.90858
-2467.3965,-119.795,38.9581
-2544.8965,-120.223,39.19109
-2347.3965,-119.8581,39.24089
-2744.8965,-120.2885,39.4738
-2727.3965,-119.9218,39.5239
-21242.031,-120.4549,38.57567
-20798.281,-120.094,38.62627
-20123.281,-120.5208,38.8577
-20380.781,-120.1582,38.90858
-19650.781,-119.795,38.9581
-19095.781,-120.223,39.19109
-18445.781,-119.8581,39.24089
-17787.031,-120.2885,39.4738
-18035.781,-119.9218,39.5239
-14346.867,-120.4549,38.57567
-15149.367,-120.094,38.62627
-15271.867,-120.5208,38.8577
-15174.367,-120.1582,38.90858
-15536.867,-119.795,38.9581
-14916.867,-120.223,39.19109
-16086.867,-119.8581,39.24089
-17194.367,-120.2885,39.4738
-18696.867,-119.9218,39.5239
-6802.537,-120.4549,38.57567
-6777.537,-120.094,38.62627
-7152.537,-120.5208,38.8577
-7192.537,-120.1582,38.90858
-7932.537,-119.795,38.9581
-7465.037,-120.223,39.19109
-8200.037,-119.8581,39.24089
-7865.037,-120.2885,39.4738
-8957.537,-119.9218,39.5239
-1224.4941,-120.4549,38.57567
-1004.49414,-120.094,38.62627
-419.49414,-120.5208,38.8577
-456.99414,-120.1582,38.90858
-574.49414,-119.795,38.9581
-24.49414,-120.223,39.19109
-191.99414,-119.8581,39.24089
278.00586,-120.2885,39.4738
-444.49414,-119.9218,39.5239
2086.5312,-120.4549,38.57567
1166.5312,-120.094,38.62627
961.53125,-120.5208,38.8577
431.53125,-120.1582,38.90858
299.03125,-119.795,38.9581
229.03125,-120.223,39.19109
181.53125,-119.8581,39.24089
199.03125,-120.2885,39.4738
216.53125,-119.9218,39.5239
12985.379,-120.4549,38.57567
9415.379,-120.094,38.62627
13379.129,-120.5208,38.8577
10816.629,-120.1582,38.90858
9741.629,-119.795,38.9581
12711.629,-120.223,39.19109
12674.129,-119.8581,39.24089
13459.129,-120.2885,39.4738
11619.129,-119.9218,39.5239
224088.86,-120.4549,38.57567
188128.86,-120.094,38.62627
217018.86,-120.5208,38.8577
172811.36,-120.1582,38.90858
136788.84,-119.795,38.9581
175191.36,-120.223,39.19109
130178.84,-119.8581,39.24089
172953.86,-120.2885,39.4738
140286.34,-119.9218,39.5239
104308.59,-120.4549,38.57567
87743.59,-120.094,38.62627
98689.84,-120.5208,38.8577
83924.84,-120.1582,38.90858
63582.344,-119.795,38.9581
77596.09,-120.223,39.19109
59931.094,-119.8581,39.24089
71203.59,-120.2885,39.4738
56489.844,-119.9218,39.5239
119760.37,-120.4549,38.57567
113242.87,-120.094,38.62627
116630.37,-120.5208,38.8577
107500.37,-120.1582,38.90858
76867.87,-119.795,38.9581
98975.37,-120.223,39.19109
